time	V_out	I_out
0.020200	-710646036095597976875053106746311103339298816.000000	79849673434699227163664464638269485744128.000000
0.020300	-1023383899767659707617344863362036077946732544.000000	-1350756855867776935616606067973007280701440.000000
0.020400	-1168386179698398776659802358055971637017182208.000000	-4327029681967765506430650750418927013068800.000000
0.020500	-753749237496114597279060166166096750311374848.000000	-9465561107569281178132502471842444752191488.000000
0.020600	904180477624104803650090322358218374397296640.000000	-16951847711250329241847630908226580252721152.000000
0.020700	4812557283144635018013525252683499478135603200.000000	-25663043202398244072545052527584287089754112.000000
0.020800	12164256818287872485071710183101861234198183936.000000	-31676284197345823663690866080900509274734592.000000
0.020900	23831923033688205988470439295868145034340597760.000000	-26131760115920585303557653303356859804024832.000000
0.021000	39206007655208424183647857714055987008043483136.000000	7185729465146139326625391678455880410464256.000000
0.021100	54044817206306525452782252375758344070186926080.000000	93355992995880031368744110404347795727187968.000000
0.021200	57114325834792601025625368028130328758359949312.000000	264296857798110483169897626572372987615379456.000000
0.021300	25850116224683218574610114623482064089244499968.000000	548470572744414417396628577920542192271622144.000000
0.021400	-77643704670118492755072012632257211022050328576.000000	945119089511097205023822688286793236314324992.000000
0.021500	-306895058597480022194068179452665197910716055552.000000	1374060802392786648893041316285982761178628096.000000
0.021600	-721030666844927262003660897285701419837742383104.000000	1593484098476861649647535942232183726533509120.000000
0.021700	-1353435965212993104049326587508144922036046659584.000000	1087264437431301940008474076722232526211383296.000000
0.021800	-2143881041849929054796763663905472768619396988928.000000	-1052853550034535791924838195246828055540269056.000000
0.021900	-2817820319696872730456759024625510862545857019904.000000	-6177305855993476416715616590881255141666717696.000000
0.022000	-2704973399571929311631822923928511860213572173824.000000	-15908581015357894796747471866199854945017004032.000000
0.022100	-517757937860671251527111075772269403120026517504.000000	-31486805399064789872055997332173473230033518592.000000
0.022200	5826260712835883381819659044651415859779579412480.000000	-52244721144023386298661970517720679707389722624.000000
0.022300	19138186248189053091662365279578967079047951024128.000000	-72759628707296629306675221468038580852527988736.000000
0.022400	42270686498954639366838511834577386780991216943104.000000	-78363175298963202073476274431822266433162706944.000000
0.022500	76209134060803122837425242468779637911357872930816.000000	-39276229654659671053489453573988174114299314176.000000
0.022600	116145487764191854201229719826804284727585553776640.000000	94945156104517928460711449596521647270724108288.000000
0.022700	144759200144163939352756453003456223125385867427840.000000	396255644845241406060254035593954026466255568896.000000
0.022800	122522274194806964709519824579931120916574716821504.000000	945497089840525958328242968919128841972332101632.000000
0.022900	-23405338607466302387099585760231590396347757363200.000000	1791687508896703726146876328547329967791846457344.000000
0.023000	-406425794047390750230791074218767812535498125082624.000000	2862731079858256587873700506251366357311766396928.000000
